parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness,expiration_date,is_quoted,abs_mny_distance,IV_mid
2026-02-25 23:01:58.438106,SR150CU8,PUT,150.0,2.565,0.0,0.0,317.1,0,0.0,,2.1140000000000003,2028-09-19,False,1.1140000000000003,
2026-02-25 23:01:58.706639,SR155CL8,CALL,155.0,2.815,0.0,0.0,317.1,0,0.0,,2.0458064516129033,2028-12-20,False,1.0458064516129033,
2026-02-25 23:01:58.985593,SR90CF9,CALL,90.0,3.313,0.0,0.0,317.1,0,0.0,,3.5233333333333334,2029-06-20,False,2.5233333333333334,
2026-02-25 23:01:59.247351,SR360CC6,CALL,360.0,0.055,0.01,0.31,317.1,0,0.16,1.875,0.8808333333333334,2026-03-18,True,0.11916666666666664,0.2522796042478624
2026-02-25 23:01:59.509110,SR345CU9,PUT,345.0,3.562,0.0,0.0,317.1,0,0.0,,0.9191304347826088,2029-09-18,False,0.08086956521739119,
2026-02-25 23:01:59.791391,SR110CI8,CALL,110.0,2.565,0.0,0.0,317.1,0,0.0,,2.882727272727273,2028-09-19,False,1.8827272727272728,
2026-02-25 23:02:00.055778,SR305CC8,CALL,305.0,2.048,0.0,0.0,317.1,0,0.0,,1.039672131147541,2028-03-14,False,0.03967213114754098,
2026-02-25 23:02:00.340533,SR350CF6,CALL,350.0,0.304,1.0,11.0,317.1,40,6.0,1.6666666666666667,0.906,2026-06-16,True,0.09399999999999997,0.18673186090664182
2026-02-25 23:02:00.647760,SR235CL9,CALL,235.0,3.811,0.0,0.0,317.1,0,0.0,,1.3493617021276596,2029-12-18,False,0.3493617021276596,
2026-02-25 23:02:00.919698,SR290CX9,PUT,290.0,3.811,0.0,0.0,317.1,0,0.0,,1.093448275862069,2029-12-18,False,0.09344827586206894,
2026-02-25 23:02:01.200088,SR260CR9,PUT,260.0,3.313,0.0,0.0,317.1,0,0.0,,1.2196153846153848,2029-06-20,False,0.21961538461538477,
2026-02-25 23:02:01.480898,SR350CD6,CALL,350.0,0.131,0.0,12.61,317.1,0,6.305,2.0,0.906,2026-04-14,False,0.09399999999999997,0.3426432168951606
2026-02-25 23:02:01.753106,SR200CF8,CALL,200.0,2.316,0.0,0.0,317.1,0,0.0,,1.5855,2028-06-20,False,0.5854999999999999,
2026-02-25 23:02:02.018782,SR340CO6,PUT,340.0,0.055,19.94,20.97,317.1,201,20.455,0.0503544365680761,0.9326470588235296,2026-03-18,True,0.0673529411764704,0.12025907359031796
2026-02-25 23:02:02.299899,SR325CO0,PUT,325.0,4.06,0.0,0.0,317.1,0,0.0,,0.9756923076923076,2030-03-19,False,0.024307692307692363,
2026-02-25 23:02:02.585116,SR150CF8,CALL,150.0,2.316,0.0,0.0,317.1,0,0.0,,2.1140000000000003,2028-06-20,False,1.1140000000000003,
2026-02-25 23:02:02.864076,SR115CO9,PUT,115.0,3.064,0.0,0.0,317.1,0,0.0,,2.757391304347826,2029-03-21,False,1.7573913043478262,
2026-02-25 23:02:03.119876,SR280CO6B,PUT,280.0,0.036,0.0,1.19,317.1,0,0.595,2.0,1.1325,2026-03-11,False,0.13250000000000006,0.4315711278271161
