,parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness
1719,2026-02-25 23:14:14.179413,SR215CU8,PUT,215.0,2.565,0.0,0.0,317.15,0,0.0,,1.4751162790697674
1720,2026-02-25 23:14:14.649541,SR185CI8,CALL,185.0,2.565,0.0,0.0,317.15,0,0.0,,1.7143243243243242
1721,2026-02-25 23:14:15.124146,SR265CX9,PUT,265.0,3.811,0.0,0.0,317.15,0,0.0,,1.1967924528301885
1722,2026-02-25 23:14:15.593865,SR260CL9,CALL,260.0,3.811,0.0,0.0,317.15,0,0.0,,1.2198076923076921
1723,2026-02-25 23:14:16.059362,SR85CC9,CALL,85.0,3.064,0.0,0.0,317.15,0,0.0,,3.731176470588235
1724,2026-02-25 23:14:16.550734,SR330CI8,CALL,330.0,2.565,0.0,0.0,317.15,0,0.0,,0.961060606060606
1725,2026-02-25 23:14:17.028932,SR300CF6,CALL,300.0,0.304,22.16,30.0,317.15,0,26.08,0.3006134969325154,1.0571666666666666
1726,2026-02-25 23:14:17.501038,SR125CO9,PUT,125.0,3.064,0.0,0.0,317.15,0,0.0,,2.5372
1727,2026-02-25 23:14:18.021083,SR230CL8,CALL,230.0,2.815,0.0,0.0,317.15,0,0.0,,1.3789130434782608
1728,2026-02-25 23:14:18.489386,SR205CR9,PUT,205.0,3.313,0.0,0.0,317.15,0,0.0,,1.5470731707317071
1729,2026-02-25 23:14:18.965682,SR400CO8,PUT,400.0,2.048,0.0,0.0,317.15,0,0.0,,0.792875
1730,2026-02-25 23:14:19.447211,SR405CR8,PUT,405.0,2.316,0.0,0.0,317.15,0,0.0,,0.7830864197530863
1731,2026-02-25 23:14:19.936453,SR320CP6,PUT,320.0,0.131,0.45,15.87,317.15,1000,8.16,1.8897058823529411,0.9910937499999999
1732,2026-02-25 23:14:20.407466,SR185CR9,PUT,185.0,3.313,0.0,0.0,317.15,0,0.0,,1.7143243243243242
1733,2026-02-25 23:14:20.882502,SR280CR9,PUT,280.0,3.313,0.0,0.0,317.15,0,0.0,,1.1326785714285714
1734,2026-02-25 23:14:21.349388,SR365CL8,CALL,365.0,2.815,0.0,0.0,317.15,0,0.0,,0.8689041095890411
1735,2026-02-25 23:14:21.826018,SR200CC8,CALL,200.0,2.048,0.0,0.0,317.15,0,0.0,,1.58575
1736,2026-02-25 23:14:22.294871,SR230CU6,PUT,230.0,0.553,0.0,0.0,317.15,0,0.0,,1.3789130434782608
1737,2026-02-25 23:14:22.766862,SR230CI8,CALL,230.0,2.565,0.0,0.0,317.15,0,0.0,,1.3789130434782608
1738,2026-02-25 23:14:23.232472,SR195CO0,PUT,195.0,4.06,0.0,0.0,317.15,0,0.0,,1.6264102564102563
1739,2026-02-25 23:14:23.701807,SR345CO9,PUT,345.0,3.064,0.0,0.0,317.15,0,0.0,,0.9192753623188405
1740,2026-02-25 23:14:24.180327,SR315CX8,PUT,315.0,2.815,0.0,0.0,317.15,0,0.0,,1.0068253968253968
1741,2026-02-25 23:14:24.652089,SR180CI9,CALL,180.0,3.562,0.0,0.0,317.15,0,0.0,,1.7619444444444443
1742,2026-02-25 23:14:25.121878,SR290CO6A,PUT,290.0,0.016,0.05,0.08,317.15,1000,0.065,0.4615384615384615,1.0936206896551723
1743,2026-02-25 23:14:25.616494,SR310CN6D,PUT,310.0,-0.003,0.0,0.0,317.15,65540,0.0,,1.0230645161290322
1744,2026-02-25 23:14:26.103715,SR240CU9,PUT,240.0,3.562,0.0,0.0,317.15,0,0.0,,1.3214583333333332
1745,2026-02-25 23:14:26.581840,SR255CL7,CALL,255.0,1.799,0.0,0.0,317.15,0,0.0,,1.2437254901960784
1746,2026-02-25 23:14:27.061398,SR230CX9,PUT,230.0,3.811,0.0,0.0,317.15,0,0.0,,1.3789130434782608
1747,2026-02-25 23:14:27.537861,SR140CO9,PUT,140.0,3.064,0.0,0.0,317.15,0,0.0,,2.265357142857143
1748,2026-02-25 23:14:28.009421,SR330CR6,PUT,330.0,0.304,5.66,17.7,317.15,0,11.68,1.0308219178082192,0.961060606060606
1749,2026-02-25 23:14:28.499423,SR195CO8,PUT,195.0,2.048,0.0,0.0,317.15,0,0.0,,1.6264102564102563
1750,2026-02-25 23:14:28.971915,SR295CU8,PUT,295.0,2.565,0.0,0.0,317.15,0,0.0,,1.0750847457627117
1751,2026-02-25 23:14:29.450594,SR330CL8,CALL,330.0,2.815,0.0,0.0,317.15,0,0.0,,0.961060606060606
1752,2026-02-25 23:14:29.924865,SR160CC8,CALL,160.0,2.048,0.0,0.0,317.15,0,0.0,,1.9821874999999998
1753,2026-02-25 23:14:30.403889,SR370CD6,CALL,370.0,0.131,0.0,12.61,317.15,0,6.305,2.0,0.8571621621621621
1754,2026-02-25 23:14:30.877520,SR355CX9,PUT,355.0,3.811,0.0,0.0,317.15,0,0.0,,0.8933802816901408
1755,2026-02-25 23:14:31.351364,SR340CC0,CALL,340.0,4.06,0.0,0.0,317.15,0,0.0,,0.9327941176470588
1756,2026-02-25 23:14:31.830933,SR320CU9,PUT,320.0,3.562,0.0,0.0,317.15,0,0.0,,0.9910937499999999
1757,2026-02-25 23:14:32.308607,SR355CO0,PUT,355.0,4.06,0.0,0.0,317.15,0,0.0,,0.8933802816901408
1758,2026-02-25 23:14:32.785749,SR215CL7,CALL,215.0,1.799,0.0,0.0,317.15,0,0.0,,1.4751162790697674
1759,2026-02-25 23:14:33.265475,SR405CO8,PUT,405.0,2.048,0.0,0.0,317.15,0,0.0,,0.7830864197530863
